,K,befor,after,bt_05,bt_1,bt_15,bt_20,bt_25,ft_05,ft_1,ft_15,ft_20,ft_25
152,153,1.019836774,[2.4995406],0.612,0.31875,0.13475,0.05175,0.014,0.736883402,0.504428829,0.324200832,0.202474688,0.113780646
153,154,1.001923064,[2.29659715],0.6185,0.31625,0.137,0.04625,0.01075,0.725139509,0.484261815,0.300493965,0.171766798,0.096226322
154,155,0.981512479,[2.50862388],0.61475,0.31525,0.12675,0.04225,0.013,0.739143734,0.508400417,0.331746356,0.199447553,0.118197328
155,156,0.987614508,[2.24503764],0.61875,0.314,0.125,0.046,0.01,0.714972962,0.480638557,0.298361552,0.171843171,0.096245723
156,157,0.967529458,[2.34635018],0.60775,0.30975,0.12425,0.04225,0.01225,0.733903541,0.493435279,0.3125745,0.187089915,0.105958829
157,158,1.026316724,[2.48037036],0.6185,0.32175,0.1345,0.051,0.0135,0.737203608,0.501877331,0.319804537,0.192300877,0.110505021
158,159,1.037942412,[2.29316256],0.6325,0.3235,0.14025,0.05225,0.01675,0.732679869,0.496869978,0.313995427,0.185489106,0.102686179
159,160,1.019931953,[2.08767939],0.625,0.3215,0.13425,0.0465,0.012,0.72767983,0.481788896,0.291424858,0.164641177,0.090366316
160,161,0.997515701,[2.17079155],0.60725,0.313,0.13275,0.04725,0.012,0.708535017,0.463816317,0.283578707,0.160750752,0.08537927
161,162,1.007486524,[2.46360775],0.618,0.3155,0.1335,0.04625,0.0125,0.720761109,0.487149115,0.321359135,0.200945735,0.122202465
162,163,0.990108005,[2.28369027],0.61975,0.3135,0.12775,0.04325,0.01125,0.729053551,0.485089207,0.29424608,0.170158659,0.094973515
163,164,0.992334041,[2.38613559],0.61175,0.31725,0.13425,0.043,0.01175,0.73556778,0.49578103,0.313613773,0.191122365,0.108307578
164,165,0.950173482,[1.92899966],0.611,0.2995,0.1255,0.043,0.01275,0.714135816,0.460678336,0.272091026,0.154348365,0.074353128
165,166,0.995064624,[2.03213847],0.62375,0.32425,0.133,0.04175,0.0125,0.70340196,0.456418837,0.269299356,0.151983391,0.080766567
166,167,1.004220971,[2.30302066],0.62025,0.323,0.13575,0.04625,0.0105,0.701899015,0.464268814,0.284742284,0.164311612,0.097479853
167,168,0.989975337,[1.95885047],0.61825,0.32525,0.13125,0.04425,0.009,0.708652024,0.463442945,0.27943895,0.155591937,0.078091558
168,169,1.014030411,[2.32823835],0.62075,0.3215,0.135,0.0475,0.01225,0.717963244,0.472850475,0.300358718,0.176802,0.095555455
169,170,1.004719068,[2.61293681],0.62575,0.3055,0.12975,0.04975,0.01325,0.726672854,0.487266349,0.308869829,0.191840002,0.117192876
170,171,0.965038663,[1.69924355],0.60675,0.31025,0.125,0.04,0.01175,0.68673577,0.427409731,0.23388081,0.125598898,0.062940003
171,172,0.995056374,[2.17336557],0.613,0.321,0.1415,0.04175,0.01025,0.726908105,0.481562975,0.305427962,0.176796819,0.094550198
172,173,1.004620826,[2.42339827],0.6275,0.32425,0.12975,0.0455,0.0125,0.709346349,0.470560603,0.290091167,0.175643164,0.107036272
173,174,0.976311864,[2.05036778],0.609,0.31025,0.131,0.041,0.011,0.718659486,0.460999582,0.27763766,0.157958605,0.087857096
174,175,1.033088397,[2.44064988],0.61875,0.32325,0.1395,0.05025,0.0155,0.726104959,0.495818072,0.31514492,0.190402447,0.114053373
175,176,1.00784388,[2.15098908],0.61,0.31225,0.13425,0.048,0.013,0.715556364,0.478609751,0.301374805,0.175310378,0.096657431
176,177,1.034897561,[2.23359617],0.6235,0.3195,0.13775,0.0485,0.01625,0.710884179,0.472022117,0.29212284,0.174900873,0.095642038
177,178,0.977619241,[1.95865226],0.6185,0.31575,0.1295,0.04,0.01,0.706971422,0.447710433,0.265211633,0.141175243,0.08174831
178,179,0.977217116,[2.17374602],0.60575,0.31375,0.13375,0.043,0.00825,0.72524962,0.478410943,0.294058676,0.168184247,0.09169575
179,180,0.987878318,[2.36355018],0.605,0.31175,0.1305,0.046,0.01275,0.725239748,0.472204397,0.301916711,0.17952049,0.108544893
180,181,0.999593836,[2.59247542],0.619,0.32125,0.13325,0.0465,0.01175,0.738048611,0.510769485,0.330949657,0.199666794,0.11587556
181,182,1.001564692,[1.9897562],0.6185,0.31575,0.1365,0.04625,0.014,0.703233165,0.469173896,0.277363757,0.154250051,0.07294614
182,183,0.986834669,[2.14946175],0.61,0.30175,0.13025,0.046,0.01275,0.72933924,0.483766023,0.280274914,0.159204048,0.087069408
183,184,1.019211975,[1.87899334],0.61825,0.31125,0.1375,0.05175,0.014,0.70291391,0.446447274,0.257085015,0.132925903,0.063317202
184,185,0.997248096,[1.93193255],0.61125,0.32075,0.1345,0.045,0.011,0.722464741,0.46150493,0.279562205,0.154673049,0.074073517
185,186,1.022283032,[2.45093386],0.625,0.32525,0.13525,0.04975,0.01625,0.734284632,0.507023096,0.31496144,0.194796566,0.115215075
186,187,1.015547671,[2.09952643],0.6275,0.32575,0.1435,0.04725,0.01375,0.711952001,0.467750575,0.283814397,0.171123233,0.088913585
187,188,0.974200979,[2.18986683],0.61125,0.309,0.134,0.0425,0.01,0.698883993,0.461277492,0.290889878,0.167637063,0.085238592
188,189,0.991610708,[1.6992662],0.625,0.319,0.13125,0.0425,0.012,0.690693467,0.437379018,0.247503683,0.129822069,0.056348759
189,190,1.043674233,[1.91318403],0.63025,0.32875,0.14675,0.04875,0.01225,0.687955362,0.439154307,0.264023265,0.150514635,0.081997972
190,191,1.059898021,[2.17516632],0.63475,0.327,0.146,0.053,0.017,0.721179839,0.470159491,0.284412917,0.170943412,0.097596135
191,192,1.006028115,[2.23350284],0.62525,0.32375,0.13575,0.0465,0.013,0.738891514,0.508123466,0.304501019,0.178657478,0.082112752
